date,open,high,low,close,volume
2026-02-09,166.58,177.2,158.05,169.29,2422943.0
2026-02-10,163.43,168.7885,154.06,160.45,1737765.0
2026-02-11,179.47,195.3999,171.89,192.41,2826164.0
2026-02-12,204.0,218.8,192.95,195.65,3300094.0
2026-02-13,187.4,201.8,175.44,193.36,2093128.0
2026-02-17,183.17,194.88,178.0,182.3,1349311.0
2026-02-18,181.31,207.33,177.54,201.16,1879450.0
2026-02-19,196.17,200.28,188.63,197.78,1188584.0
2026-02-20,195.39,209.8,194.79,207.71,1587321.0
2026-02-23,202.44,211.0,195.2638,200.69,1465539.848589
2026-02-24,208.06,215.4,191.42,197.91,2649254.097861
2026-02-25,205.35,215.5,202.4101,207.63,1712041.590542
2026-02-26,204.195,212.68,181.88,195.13,2069293.204161
2026-02-27,182.015,197.0,181.3601,191.93,1231373.055551
2026-03-02,181.62,196.5,177.59,191.62,1586006.206936
2026-03-03,166.5,170.71,156.5618,161.53,1890282.460628
2026-03-04,172.54,185.0,168.0,179.17,1695268.701148
2026-03-05,176.95,182.47,160.95,175.23,1668077.547043
2026-03-06,161.03,170.24,149.5001,152.22,1856243.033153
2026-03-09,146.99,168.0,141.5552,167.53,2345745.740264
2026-03-10,171.595,189.8,171.55,179.35,2426974.715464
2026-03-11,185.9,196.8,181.73,193.16,2338136.846787
2026-03-12,184.5,188.44,172.7001,180.82,2179153.595224
2026-03-13,188.2,202.0,187.6,199.22,2837982.419415
2026-03-16,217.58,225.8,210.154,213.88,2129913.094849
2026-03-17,223.4,233.91,216.7537,233.0,2707410.472206
2026-03-18,235.895,242.5224,229.4238,233.01,4024160.033204
2026-03-19,195.68,228.32,192.1,215.03,4601184.427477
2026-03-20,214.6,219.45,186.99,194.34,2765660.917708
2026-03-23,195.98,200.5,174.5001,177.1,3820258.156637
2026-03-24,174.0,176.8634,162.93,169.08,2433368.558778
2026-03-25,157.54,163.0,148.63,157.39,4213792.704583
2026-03-26,146.5,150.6,132.33,135.06,3238608.701811
2026-03-27,138.22,145.16,134.1591,136.67,2900545.732031
2026-03-30,140.7,140.7,106.7,109.75,3985438.441457
2026-03-31,109.5,120.39,102.47,120.38,4723156.826192
2026-04-01,128.73,148.74,124.0,141.77,5260420.546764
2026-04-02,120.63,140.7,120.4,140.43,3938222.029294
2026-04-06,145.45,154.69,143.8,148.92,2920593.821184
2026-04-07,145.78,150.0541,138.2006,148.82,3093231.24719
2026-04-08,178.35,178.79,165.64,171.62,3578659.288353
2026-04-09,172.61,186.0,164.768,184.215,3392957.465571
2026-04-10,182.5,186.0,174.03,183.01,2294919.534831
2026-04-13,179.36,188.53,172.0,188.45,2520445.335637
2026-04-14,195.33,222.8,186.7825,222.4,3456608.08672
2026-04-15,215.085,221.0,197.6601,213.8,2577678.878899
2026-04-16,208.03,219.4699,203.0,214.46,1933022.250275
2026-04-17,223.525,227.0,209.88,212.43,2575235.633618
2026-04-20,215.06,224.21,194.49,206.4,1905512.471278
2026-04-21,208.97,215.0,199.69,207.34,1600868.80528
2026-04-22,220.25,246.21,215.47,242.1,2906621.345244
2026-04-23,237.5,248.1971,226.6,236.11,2378762.337232
2026-04-24,250.2,261.0073,243.57,250.1,2185492.325605
2026-04-27,265.08,285.9063,264.5,279.33,2118335.232578
2026-04-28,255.0,273.2353,240.0591,257.27,2135275.767249
2026-04-29,279.645,284.47,262.02,271.95,1782478.461473
2026-04-30,286.73,289.4799,255.15,270.73,1791144.171765
2026-05-01,264.55,299.99,262.0401,295.79,2159962.149643
2026-05-04,315.57,351.155,313.01,333.96,2162655.947949
2026-05-05,372.41,420.75,368.0,407.85,2931561.495472
2026-05-06,431.405,442.6899,390.37,440.24,2790779.606939
2026-05-07,421.42,463.0,400.0,414.68,2233503.084798
2026-05-08,453.97,542.72,453.2,542.72,2866666.818994
2026-05-11,608.49,646.29,574.5,613.59,3773571.414239
2026-05-12,580.26,593.5,476.1601,568.35,4012831.263094
2026-05-13,635.0,639.9,587.4401,622.86,3597776.407573
2026-05-14,597.91,635.5278,579.52,579.52,2260899.24843
2026-05-15,515.0,539.7,494.0001,503.69,2627404.322907
2026-05-18,538.565,547.54,418.0,442.77,3308582.527835
2026-05-19,421.2,500.37,404.89,465.98,3439151.355883
2026-05-20,514.23,514.23,467.0,509.89,2863220.847734
2026-05-21,514.54,555.11,509.2918,550.3,2430142.847999
2026-05-22,542.45,576.51,529.02,534.37,1736433.06596
2026-05-26,635.0,769.8999,633.87,740.0,4372054.865976
2026-05-27,837.965,840.3,727.4612,794.01,5300856.407922
2026-05-28,795.57,829.9,753.01,785.0,3473165.042394
2026-05-29,841.0,882.0,813.5,866.64,3079927.709992
2026-06-01,935.0,1000.0,934.98,980.97,3125292.154673
2026-06-02,1006.31,1055.79,945.63,1033.17,3055420.230224
2026-06-03,1068.88,1081.71,985.0,1065.0,2546794.108354
2026-06-04,920.655,978.03,851.851,901.56,4231663.545828
2026-06-05,805.185,835.0,661.33,661.33,5128832.978676
